"articles","sex","married","kidsUnder5","prestige","mentorArticles"
4,"Female","Married",0,2.58,14
4,"Female","Married",0,1.28,4
4,"Female","Married",0,3.21,14
4,"Female","Single",0,2.87,6
4,"Female","Single",0,3.34,11
4,"Female","Single",0,3.15,8
4,"Female","Single",0,2.32,8
4,"Male","Single",0,4.29,19
4,"Male","Single",0,3.69,7
4,"Male","Married",1,2.55,21
4,"Female","Single",0,4.62,3
4,"Female","Married",0,2.36,5
4,"Male","Married",1,4.25,29
4,"Male","Married",1,4.29,5
4,"Female","Married",0,3.19,7
4,"Female","Single",0,3.19,3
4,"Female","Single",0,2.56,23
4,"Male","Married",0,1.76,7
4,"Male","Married",1,2.58,25
4,"Female","Married",0,3.41,4
4,"Female","Single",0,3.59,9
4,"Female","Married",0,1.78,4
4,"Female","Single",0,3.75,3
4,"Male","Married",2,3.69,16
4,"Male","Married",0,3.62,5
4,"Male","Married",0,1.5,4
4,"Male","Married",2,2.58,6
4,"Male","Single",0,2.87,15
5,"Female","Married",0,2.26,16
5,"Female","Single",0,3.75,13
5,"Male","Married",2,3.85,15
5,"Male","Married",1,3.15,5
5,"Male","Married",1,3.15,27
5,"Male","Married",0,4.34,6
5,"Male","Married",0,4.25,12
5,"Male","Single",0,3.36,11
5,"Female","Single",0,3.59,14
5,"Male","Married",1,2.58,25
5,"Male","Married",1,3.59,21
5,"Male","Married",1,2.96,4
5,"Male","Married",0,4.54,13
5,"Male","Married",0,4.29,30
5,"Female","Single",0,2.87,12
5,"Female","Married",0,4.54,15
5,"Female","Married",1,3.85,1
5,"Male","Married",0,2.5,4
5,"Male","Married",1,3.47,0
5,"Female","Married",0,2.86,24
5,"Female","Married",0,4.62,0
5,"Male","Married",1,4.54,53
5,"Male","Married",0,1.25,2
5,"Female","Married",0,3.21,19
5,"Male","Married",1,1.76,11
5,"Female","Single",0,2.58,6
5,"Female","Single",0,3.62,3
6,"Male","Married",1,4.62,8
6,"Female","Married",0,2.1,36
6,"Female","Married",2,1.86,38
6,"Male","Married",0,4.34,9
6,"Female","Married",0,4.29,24
6,"Male","Married",2,2.51,11
6,"Male","Married",1,2.96,13
6,"Male","Single",0,4.29,18
6,"Male","Single",0,3.4,14
6,"Female","Single",0,4.54,12
6,"Male","Married",1,3.85,16
6,"Female","Single",0,3.15,9
6,"Female","Single",0,4.54,15
6,"Male","Single",0,3.47,6
6,"Female","Married",0,4.29,1
6,"Male","Single",0,1.97,4
6,"Female","Single",0,3.32,6
7,"Male","Married",0,3.59,1
7,"Male","Single",0,2.54,6
7,"Male","Single",0,3.41,20
7,"Male","Married",1,1.97,0
7,"Female","Single",0,3.15,9
7,"Male","Single",0,4.62,15
7,"Male","Single",0,4.54,42
7,"Male","Married",0,3.69,9
7,"Male","Single",0,4.34,19
7,"Male","Single",0,4.29,19
7,"Male","Married",1,3.59,27
7,"Male","Single",0,3.69,19
8,"Male","Married",0,2.51,11
9,"Male","Married",1,2.96,23
9,"Male","Married",1,1.86,47
10,"Female","Married",0,3.59,18
11,"Male","Married",2,2.86,7
12,"Male","Married",1,4.29,35
12,"Male","Married",1,1.86,5
16,"Male","Married",0,1.74,21
19,"Male","Married",0,1.86,42
